product_id,product_category,base_price,competitor_price,demand_level,inventory_level,customer_traffic,time_of_day,day_of_week,season,is_peak,discount_pct,units_sold,revenue,optimal_price
PROD-00001,Electronics,262.06,287.95,37.0,254.0,2029.0,Night,Saturday,Spring,1,28.1,29,12663.43,436.67
PROD-00002,Books,30.2,31.06,25.0,228.0,3728.0,Evening,Sunday,Autumn,1,1.43,20,1004.2,50.21
PROD-00003,Sports,73.39,67.77,54.0,37.0,492.0,Morning,Tuesday,Spring,0,30.77,46,5244.46,114.01
PROD-00004,Home & Kitchen,101.59,109.08,67.0,60.0,4512.0,Night,Tuesday,Autumn,0,33.9,35,6921.95,197.77
PROD-00005,Home & Kitchen,327.17,286.39,29.0,298.0,2601.0,Night,Monday,Autumn,0,25.98,21,9090.27,432.87
PROD-00006,Beauty,65.01,70.36,77.0,285.0,3013.0,Afternoon,Thursday,Spring,0,4.2,61,7064.41,115.81
PROD-00007,Electronics,1121.85,1152.14,65.0,277.0,987.0,Afternoon,Thursday,Summer,1,28.26,47,87086.77,1852.91
PROD-00008,Books,22.55,19.92,20.0,79.0,2666.0,Morning,Monday,Spring,0,22.66,13,442.26,34.02
PROD-00009,Fashion,187.02,163.43,94.0,255.0,65.0,Night,Friday,Autumn,0,11.86,72,19548.72,271.51
PROD-00010,Electronics,661.1,710.85,9.0,31.0,4456.0,Night,Monday,Summer,1,30.94,6,7485.96,1247.66
PROD-00011,Sports,272.48,255.56,67.0,72.0,3756.0,Morning,Saturday,Summer,1,19.79,43,24623.95,572.65
PROD-00012,Beauty,93.96,104.93,46.0,249.0,2299.0,Evening,Friday,Spring,1,29.85,33,5734.74,173.78
PROD-00013,Books,31.0,33.44,67.0,308.0,4187.0,Afternoon,Saturday,Summer,1,23.45,35,2051.0,58.6
PROD-00014,Books,57.25,60.66,78.0,328.0,4067.0,Evening,Monday,Summer,1,10.1,45,5216.4,115.92
PROD-00015,Books,23.85,22.27,70.0,490.0,639.0,Morning,Sunday,Spring,1,34.13,46,1412.2,30.7
PROD-00016,Books,14.75,15.67,66.0,427.0,316.0,Night,Thursday,Winter,1,19.99,60,1221.6,20.36
PROD-00017,Sports,279.29,316.83,84.0,190.0,1305.0,Afternoon,Sunday,Summer,1,18.09,47,24646.33,524.39
PROD-00018,Electronics,1046.01,917.84,71.0,391.0,56.0,Night,Friday,Spring,0,14.12,62,79980.62,1290.01
PROD-00019,Beauty,15.64,14.82,82.0,48.0,2887.0,Morning,Friday,Autumn,0,4.77,50,1580.5,31.61
PROD-00020,Home & Kitchen,241.33,222.12,43.0,428.0,2665.0,Evening,Monday,Summer,1,24.02,35,11752.3,335.78
PROD-00021,Sports,359.68,348.16,24.0,193.0,2712.0,Afternoon,Friday,Summer,1,15.08,18,10163.88,564.66
PROD-00022,Home & Kitchen,382.32,410.12,27.0,380.0,414.0,Night,Thursday,Autumn,0,32.71,24,11189.52,466.23
PROD-00023,Fashion,248.12,246.2,63.0,485.0,4595.0,Evening,Saturday,Spring,1,33.78,47,19199.03,408.49
PROD-00024,Beauty,84.4,86.19,55.0,351.0,4883.0,Evening,Friday,Autumn,1,26.87,30,4617.0,153.9
PROD-00025,Books,41.3,39.0,12.0,460.0,2973.0,Morning,Monday,Spring,0,8.49,10,485.9,48.59
PROD-00026,Sports,138.43,123.53,24.0,6.0,77.0,Evening,Sunday,Spring,1,25.06,19,3808.36,200.44
PROD-00027,Home & Kitchen,475.34,442.11,96.0,86.0,2010.0,Morning,Monday,Spring,0,0.71,60,50175.6,836.26
PROD-00028,Books,25.15,27.86,73.0,313.0,3604.0,Afternoon,Wednesday,Spring,0,28.92,52,2397.2,46.1
PROD-00029,Sports,301.94,311.22,76.0,270.0,3756.0,Morning,Tuesday,Summer,1,17.28,44,25680.16,583.64
PROD-00030,Home & Kitchen,219.48,211.44,23.0,61.0,1254.0,Morning,Sunday,Winter,1,32.79,18,6442.02,357.89
PROD-00031,Home & Kitchen,294.05,319.63,11.0,359.0,4122.0,Evening,Tuesday,Winter,1,13.22,7,3396.47,485.21
PROD-00032,Fashion,185.55,161.31,32.0,30.0,4839.0,Morning,Saturday,Spring,1,9.21,21,7799.82,371.42
PROD-00033,Electronics,708.93,656.59,86.0,495.0,2567.0,Evening,Tuesday,Winter,1,34.83,57,59835.18,1049.74
PROD-00034,Sports,365.16,335.59,53.0,79.0,1938.0,Night,Friday,Autumn,0,18.57,38,22615.32,595.14
PROD-00035,Beauty,68.7,78.71,79.0,223.0,2654.0,Morning,Monday,Autumn,0,30.21,48,5949.6,123.95
PROD-00036,Electronics,847.07,899.45,51.0,411.0,185.0,Evening,Wednesday,Winter,1,31.89,42,48954.36,1165.58
PROD-00037,Beauty,57.93,59.98,51.0,257.0,2641.0,Afternoon,Friday,Summer,1,18.15,32,3034.88,94.84
PROD-00038,Books,27.45,23.37,62.0,372.0,183.0,Afternoon,Friday,Summer,1,15.95,57,1971.63,34.59
PROD-00039,Fashion,121.21,109.73,96.0,352.0,222.0,Evening,Sunday,Autumn,1,19.35,76,13091.0,172.25
PROD-00040,Sports,72.18,75.11,46.0,474.0,2789.0,Evening,Saturday,Autumn,1,29.67,41,4456.7,108.7
PROD-00041,Electronics,291.72,281.2,61.0,232.0,2578.0,Evening,Thursday,Autumn,1,33.76,47,22477.75,478.25
PROD-00042,Books,41.71,47.02,92.0,489.0,4934.0,Morning,Wednesday,Spring,0,11.49,63,4747.68,75.36
PROD-00043,Books,41.05,44.31,40.0,258.0,2562.0,Evening,Tuesday,Winter,1,25.85,32,2176.0,68.0
PROD-00044,Home & Kitchen,341.57,336.18,84.0,446.0,4899.0,Afternoon,Sunday,Summer,1,9.99,48,30053.28,626.11
PROD-00045,Electronics,219.77,236.22,55.0,366.0,4045.0,Afternoon,Friday,Winter,1,21.38,40,15106.8,377.67
PROD-00046,Beauty,55.72,63.66,88.0,67.0,1719.0,Night,Sunday,Summer,1,28.17,50,5677.0,113.54
PROD-00047,Home & Kitchen,122.97,121.53,49.0,322.0,4634.0,Morning,Thursday,Spring,0,31.03,38,7786.2,204.9
PROD-00048,Beauty,118.94,124.03,64.0,439.0,2439.0,Afternoon,Thursday,Winter,1,15.71,37,7095.49,191.77
PROD-00049,Books,52.33,58.91,35.0,65.0,2994.0,Afternoon,Saturday,Autumn,1,12.94,21,2101.68,100.08
PROD-00050,Books,18.57,17.17,65.0,419.0,547.0,Morning,Saturday,Spring,1,8.87,55,1373.35,24.97
PROD-00051,Books,41.73,46.57,35.0,53.0,1102.0,Night,Tuesday,Spring,0,4.67,25,1699.5,67.98
PROD-00052,Fashion,49.75,43.75,62.0,435.0,2634.0,Afternoon,Thursday,Spring,0,12.77,45,2959.65,65.77
PROD-00053,Home & Kitchen,159.32,166.42,79.0,394.0,1392.0,Evening,Tuesday,Spring,1,30.52,56,14183.68,253.28
PROD-00054,Home & Kitchen,95.17,103.24,46.0,76.0,3018.0,Afternoon,Saturday,Winter,1,14.66,32,5950.08,185.94
PROD-00055,Home & Kitchen,163.25,168.87,45.0,363.0,445.0,Night,Monday,Spring,0,11.11,33,6669.96,202.12
